"SYMBOL","OPEN","HIGH","LOW","PREV.CLOSE","LTP","INDICATIVECLOSE","CHNG","%CHNG","VOLUME(shares)","VALUE(₹Crores)","52WH","52WL","30D%CHNG","365D%CHNG"
"MARUTI","16,453.00","16,476.00","16,330.00","16,424.00","16,335.00","-","-89.00","-0.54","28,990","47.61","16,549.00","10,725.00","3.53","35.68"
"MANKIND","2,467.00","2,470.60","2,435.00","2,455.10","2,441.30","-","-13.80","-0.56","35,115","8.61","3,054.80","2,115.10","-7.72","-7.26"
"GODREJCP","1,142.10","1,146.40","1,127.00","1,136.50","1,130.00","-","-6.50","-0.57","88,180","10.03","1,342.70","979.50","-8.27","-14.94"
"HCLTECH","1,502.70","1,503.00","1,481.00","1,495.40","1,486.50","-","-8.90","-0.60","2,74,400","40.90","2,012.20","1,302.75","1.91","-19.50"
"ULTRACEMCO","12,371.00","12,417.00","12,271.00","12,346.00","12,271.00","-","-75.00","-0.61","14,465","17.89","13,097.00","10,047.85","-1.30","11.53"
"ALKEM","5,557.00","5,585.50","5,508.50","5,557.00","5,523.00","-","-34.00","-0.61","16,880","9.37","6,250.00","4,491.65","0.28","-9.39"
"IRCTC","721.45","724.50","715.40","721.00","716.50","-","-4.50","-0.62","1,90,939","13.74","884.70","656.00","-2.12","-18.16"
"BLUESTARCO","1,987.00","1,987.00","1,951.10","1,971.30","1,959.00","-","-12.30","-0.62","35,674","7.01","2,417.00","1,521.00","0.38","-2.53"
"ASIANPAINT","2,513.00","2,519.20","2,484.00","2,516.00","2,500.00","-","-16.00","-0.64","1,07,942","27.05","3,057.95","2,124.75","1.38","-15.91"
"DIVISLAB","6,648.00","6,657.00","6,553.00","6,604.00","6,562.00","-","-42.00","-0.64","32,977","21.81","7,071.50","4,955.00","6.52","9.66"
"ICICIBANK","1,384.50","1,387.60","1,375.90","1,390.30","1,381.30","-","-9.00","-0.65","34,15,560","472.43","1,500.00","1,186.00","-0.85","9.95"
