"SYMBOL","OPEN","HIGH","LOW","PREV.CLOSE","LTP","INDICATIVECLOSE","CHNG","%CHNG","VOLUME(shares)","VALUE(₹Crores)","52WH","52WL","30D%CHNG","365D%CHNG"
"JINDALSTEL","1,010.00","1,012.80","1,003.00","1,005.60","1,005.00","-","-0.60","-0.06","1,09,029","11.00","1,087.60","723.35","-3.86","4.26"
"GAIL","178.82","179.00","177.95","178.42","178.30","-","-0.12","-0.07","5,50,754","9.83","223.55","150.52","-1.78","-19.42"
"TORNTPHARM","3,571.00","3,685.60","3,561.00","3,570.40","3,568.00","-","-2.40","-0.07","20,403","7.31","3,787.90","2,886.45","-1.62","3.50"
"OBEROIRLTY","1,700.00","1,708.00","1,691.40","1,699.20","1,698.00","-","-1.20","-0.07","41,351","7.03","2,343.65","1,451.95","1.74","-12.03"
"SONACOMS","465.00","465.35","460.00","461.20","460.90","-","-0.30","-0.07","1,48,421","6.87","744.90","380.00","5.73","-27.63"
"SUPREMEIND","4,192.90","4,210.00","4,181.10","4,192.90","4,190.00","-","-2.90","-0.07","6,931","2.90","5,156.75","3,095.00","-4.95","-17.14"
"CHOLAFIN","1,685.20","1,686.80","1,665.00","1,673.30","1,672.00","-","-1.30","-0.08","1,32,071","22.08","1,708.00","1,168.00","5.18","14.59"
"DMART","4,308.00","4,311.00","4,260.00","4,275.30","4,272.00","-","-3.30","-0.08","36,984","15.84","4,949.50","3,340.00","-10.47","7.24"
"NTPC","342.95","343.50","341.05","341.95","341.65","-","-0.30","-0.09","3,46,988","11.88","428.75","292.80","0.97","-19.53"
"SAIL","130.55","130.69","129.50","129.84","129.70","-","-0.14","-0.11","19,55,418","25.45","139.98","99.15","-4.67","0.63"
"NYKAA","258.79","260.50","255.33","257.48","257.20","-","-0.28","-0.11","7,29,991","18.83","268.25","154.90","5.69","39.34"
"GODREJPROP","2,309.80","2,325.00","2,279.80","2,291.80","2,289.00","-","-2.80","-0.12","1,91,493","44.10","3,175.80","1,900.00","6.83","-26.86"
"ITC","413.50","413.95","412.35","413.05","412.50","-","-0.55","-0.13","11,42,130","47.16","493.50","390.15","0.58","-15.13"
"LUPIN","1,955.00","1,959.30","1,940.10","1,943.80","1,941.00","-","-2.80","-0.14","45,815","8.91","2,402.90","1,795.20","-5.44","-10.82"
"ASTRAL","1,460.00","1,460.00","1,445.00","1,448.20","1,446.00","-","-2.20","-0.15","32,936","4.77","1,898.00","1,232.30","-0.29","-22.63"
"HAL","4,880.80","4,880.80","4,850.50","4,860.00","4,852.00","-","-8.00","-0.16","1,28,987","62.74","5,165.00","3,046.05","-1.14","7.41"
"IREDA","153.00","154.02","152.66","153.25","153.00","-","-0.25","-0.16","19,64,004","30.11","234.29","137.01","-4.74","-29.10"
"KEI","4,180.00","4,209.90","4,130.00","4,145.50","4,139.00","-","-6.50","-0.16","53,168","22.05","4,706.00","2,424.00","-1.30","2.17"
"GODFRYPHLP","3,419.50","3,436.70","3,365.00","3,403.90","3,398.00","-","-5.90","-0.17","46,680","15.92","3,947.00","1,370.82","-3.44","-49.62"
"HEROMOTOCO","5,667.00","5,668.00","5,631.00","5,641.00","5,631.00","-","-10.00","-0.18","40,575","22.92","5,694.00","3,344.00","4.31","8.14"
"SBILIFE","1,852.00","1,852.00","1,832.50","1,839.70","1,836.20","-","-3.50","-0.19","41,649","7.67","1,912.00","1,372.55","-0.11","7.83"
"VMM","148.09","149.43","147.50","148.05","147.75","-","-0.30","-0.20","6,99,825","10.39","157.60","95.99","-2.82","-"
"ICICIGI","2,016.50","2,022.50","2,002.50","2,011.10","2,007.00","-","-4.10","-0.20","32,723","6.57","2,094.35","1,613.70","7.78","-0.49"
"BAJAJ-AUTO","9,159.50","9,165.00","9,081.00","9,124.50","9,105.50","-","-19.00","-0.21","27,642","25.25","10,829.85","7,089.35","1.71","-9.33"
"NHPC","86.70","87.00","86.15","86.56","86.38","-","-0.18","-0.21","14,80,658","12.81","92.34","71.00","-1.43","2.89"
"PATANJALI","593.00","594.15","587.10","590.25","589.00","-","-1.25","-0.21","88,692","5.23","670.33","523.33","-3.06","-66.56"
"HDFCAMC","5,739.50","5,753.50","5,681.00","5,716.00","5,703.50","-","-12.50","-0.22","42,433","24.29","5,934.50","3,563.05","-2.40","21.37"
